,date,SPY_open,SPY_high,SPY_low,SPY_close,SPY_volume,SPY_trade_count,SPY_vwap,VIX_open,VIX_high,VIX_low,VIX_close
0,2015-12-01,209.42,210.82,209.11,210.68,97858418,337780,209.92141,15.61,16.34,14.63,14.67
1,2015-12-02,210.6,211.0,208.23,208.54,108069059,367013,209.563055,15.04,16.49,14.71,15.91
2,2015-12-03,208.9,209.15,204.7511,205.58,166224154,546768,206.878936,15.87,19.35,15.86,18.11
3,2015-12-04,206.1,209.97,205.93,209.66,192878747,556731,208.178631,17.43,17.65,14.69,14.81
4,2015-12-07,209.2,209.7295,207.2,208.27,102027111,374705,208.276128,15.65,17.18,15.58,15.84
5,2015-12-08,206.48,208.289,205.78,206.99,103372367,387782,206.966276,17.69,18.33,16.52,17.6
6,2015-12-09,206.2,208.68,204.18,205.33,162401537,586210,206.034646,18.05,20.13,15.72,19.61
7,2015-12-10,205.44,207.43,205.14,205.86,116128858,404992,206.102975,19.25,19.72,18.13,19.34
8,2015-12-11,203.38,204.14,201.51,201.88,211173305,669924,203.150102,21.36,25.27,20.88,24.39
9,2015-12-14,202.1,203.05,199.95,203.0,182357840,726916,201.724387,24.7,26.81,21.47,22.73
10,2015-12-15,204.69,206.11,202.8666,205.06,154001569,489512,204.95872,20.76,21.62,20.02,20.95
11,2015-12-16,206.37,208.39,204.8,208.02,196939008,668715,206.526496,19.25,20.24,17.12,17.86
12,2015-12-17,208.37,208.48,204.84,204.86,172045733,570147,206.311631,16.18,19.05,16.13,18.94
13,2015-12-18,202.77,202.93,199.83,200.02,251273535,837830,201.605189,19.34,23.3,18.75,20.7
14,2015-12-21,201.43,201.88,200.09,201.7,98494290,375643,201.09398,19.64,20.21,18.7,18.7
15,2015-12-22,202.7,203.85,201.55,203.56,110922396,380847,202.80552,17.61,18.22,16.6,16.6
16,2015-12-23,204.7,206.07,204.58,206.05,110986206,349384,205.162453,15.86,16.25,15.33,15.57
17,2015-12-24,205.72,206.33,205.42,205.65,48542150,160183,205.798902,15.44,15.88,14.45,15.74
18,2015-12-28,204.86,205.26,203.94,205.22,65899822,263291,204.822847,17.65,18.13,16.88,16.91
19,2015-12-29,206.53,207.79,206.47,207.4,92634729,296150,206.919331,15.91,16.48,15.63,16.08
20,2015-12-30,207.09,207.21,205.76,205.93,63317679,237053,206.644516,16.5,17.42,16.5,17.29
21,2015-12-31,205.17,205.89,203.87,203.89,114877859,377772,204.693408,17.97,20.39,17.51,18.21
22,2016-01-04,200.53,201.03,198.59,201.01,222353534,655482,200.645153,22.48,23.36,20.67,20.7
23,2016-01-05,201.39,201.9,200.05,201.35,110845729,418705,201.07971,20.75,21.06,19.25,19.34
24,2016-01-06,198.33,200.06,197.6,198.85,152112604,548381,198.958712,21.67,21.86,19.8,20.59
25,2016-01-07,195.32,197.44,193.59,193.99,213436023,796441,195.345235,23.22,25.86,22.4,24.99
26,2016-01-08,195.21,195.85,191.58,191.95,209567228,754911,193.646639,22.96,27.08,22.48,27.01
27,2016-01-11,193.05,193.41,189.82,192.11,187941153,701513,191.722893,25.58,27.39,23.83,24.3
28,2016-01-12,193.85,194.55,191.14,193.66,172330490,635729,192.886816,22.97,23.93,21.91,22.47
29,2016-01-13,194.53,194.86,188.38,188.87,221154886,812684,191.150016,21.72,26.11,21.44,25.22
30,2016-01-14,189.55,193.26,187.66,191.89,240795609,824310,190.766957,24.75,26.28,23.07,23.95
31,2016-01-15,186.79,188.76,185.52,187.83,324846447,1105558,187.716756,28.96,30.95,26.67,27.02
32,2016-01-19,189.95,190.11,186.2,188.06,195243673,700799,188.30855,25.4,27.59,25.21,26.05
33,2016-01-20,185.0,187.495,181.02,185.81,286547516,1102456,184.185312,27.78,32.09,26.59,27.59
34,2016-01-21,186.19,188.87,184.64,186.7,195772941,805407,186.975176,27.79,28.43,25.01,26.69
35,2016-01-22,189.78,190.76,188.88,190.55,168319598,614014,189.804114,24.21,24.55,22.22,22.34
36,2016-01-25,189.91,190.15,187.41,187.63,130371286,489704,188.965118,23.3,24.31,22.38,24.15
37,2016-01-26,188.44,190.53,188.02,190.24,141036419,498820,189.535338,23.75,24.02,22.33,22.5
38,2016-01-27,189.58,191.56,187.06,188.14,185645007,744086,189.337687,22.88,27.22,20.42,23.11
