,SPY_high,SPY_low,VBM,MI,weekly_range
0,209.7295,207.2,0.0,0.0,0.0
1,208.289,205.78,0.0,0.0,0.0
2,208.68,204.18,0.0,0.0,0.0
3,207.43,205.14,0.0,0.0,0.0
4,204.14,201.51,0.0,0.0,8.21950000000001
5,193.41,189.82,-67.23038142747876,23.71742821996674,0.0
6,194.55,191.14,-69.12498372116517,23.814163535565914,0.0
7,194.86,188.38,-68.64153805433466,24.172643943214123,0.0
8,193.26,187.66,-65.07265031652817,24.587343897367223,0.0
9,188.76,185.52,-64.71813948591519,24.77576076811431,9.340000000000003
10,194.58,191.84,-49.06550486929776,25.6643161115963,0.0
11,191.97,189.54,-50.785879979828486,25.800672552241895,0.0
12,191.78,187.1,-46.59133307423239,26.03900144469538,0.0
13,192.75,189.96,-46.14749999999998,26.252950387506143,0.0
14,191.6696,187.2,-45.08647813589473,26.514913635480077,7.480000000000018
15,186.12,182.8,-44.67578463371574,26.704354681969058,0.0
16,186.94,183.2,-45.80200072714444,26.824753163345317,0.0
17,188.34,185.12,-45.29271934233065,26.91504060244168,0.0
18,184.1,181.09,-46.079511998965955,26.925791451875753,0.0
19,186.65,183.96,-44.30623402672184,26.76719612588523,7.25
20,196.23,193.33,-52.14749500450837,23.50205440636603,0.0
21,198.21,194.4542,-49.106781171514186,23.57761385437358,0.0
22,199.06,197.25,-51.75966077066834,23.629509393031647,0.0
23,199.795,198.11,-54.168800087113055,23.568606033870623,0.0
24,201.35,199.03,-57.280918799305006,23.5401555060685,8.019999999999982
25,201.07,199.25,-57.52478757811314,23.458882813488216,0.0
26,199.92,198.21,-59.858175026601494,23.393782615764856,0.0
27,199.79,198.43,-62.35770492381939,23.33036982740884,0.0
28,201.07,197.38,-60.99923198394017,23.329692765949464,0.0
29,202.81,199.5179,-61.61511003435394,23.426980629212522,5.430000000000007
30,203.04,201.77,-64.51359072170246,23.37013017689008,0.0
31,202.5307,201.05,-66.95175036092044,23.28154407329501,0.0
32,203.82,201.55,-68.14735983154975,23.211450688186794,0.0
33,205.23,202.77,-72.3995826661127,23.1934845898088,0.0
34,204.78,203.8,-75.56999930918293,23.112102356044115,4.179999999999978
35,207.07,205.89,-97.94185950382202,23.40227859884826,0.0
36,206.2642,203.89,-99.20435044239932,23.473824131108007,0.0
37,206.49,203.98,-98.53702705938724,23.5118691141168,0.0
38,205.56,203.09,-102.4047013002947,23.63902679418705,0.0
39,205.85,203.87,-101.70949968286023,23.785608911228202,3.9799999999999898
40,208.66,207.54,-111.9356951267748,23.832103474109545,0.0
41,209.52,208.36,-111.95703435399716,23.86233248349392,0.0
42,209.81,208.05,-109.73051888025402,23.93505175979741,0.0
43,209.76,206.96,-110.3502077925851,24.165293035178816,0.0
44,207.13,205.03,-111.36388230417899,24.40845988096116,4.780000000000001
45,208.18,206.41,-109.52972126755127,24.643338621250333,0.0
46,206.8,205.28,-106.84707908836414,24.689061846591283,0.0
47,205.85,204.42,-111.4149313394379,24.74169263934803,0.0
48,205.98,204.47,-112.40209166212306,24.824315049910556,0.0
49,205.77,203.88,-110.37830539613286,24.769123401605757,4.300000000000011
50,206.4,205.36,-113.85453410784,24.725487350623183,0.0
51,208.5,206.64,-109.30811828485757,24.662597186925513,0.0
52,208.54,206.5,-110.74499465247138,24.597365312312895,0.0
53,207.4899,205.37,-112.0333387675254,24.545926312606525,0.0
54,206.86,204.38,-115.50039433813467,24.57807704464214,4.159999999999997
55,207.34,204.89,-110.785711359633,24.641133460908115,0.0
56,206.8,204.23,-109.70878518338007,24.69815557615941,0.0
57,206.3,203.63,-111.21713058628096,24.856450140421646,0.0
58,204.54,202.78,-109.52411809971242,25.02267485597958,0.0
59,206.1,204.86,-105.79156880697427,25.17188433404322,4.560000000000002
60,205.84,204.985,-105.77745807741299,25.141891695728674,0.0
61,208.24,206.14,-103.50690172499114,25.18951998153588,0.0
62,209.77,207.8691,-101.7181227760413,25.24577862620801,0.0
63,209.71,208.97,-105.87533692457986,25.19754932699059,0.0
64,210.25,209.47,-104.85146900317778,25.101760370354015,5.264999999999986
65,211.77,210.51,-102.96551903069296,24.84201523775906,0.0
66,212.34,211.5,-105.13069726440887,24.659362562678794,0.0
67,212.52,211.6899,-108.43707997311814,24.478185366192534,0.0
68,212.22,211.19,-111.9107367689835,24.33170525154957,0.0
69,210.86,209.43,-113.87940212068297,24.251290587239982,3.0900000000000034
70,210.37,208.35,-115.06024096385529,24.249746767008265,0.0
71,208.74,206.9199,-115.49863836088595,24.356806916966764,0.0
72,209.36,207.53,-114.71135631306255,24.450178376518693,0.0
73,208.57,205.59,-113.39308694747976,24.629617161135776,0.0
74,207.2,205.75,-113.29659793877383,24.68951537175768,4.780000000000001
75,209.61,207.75,-111.05214610012327,24.681990822797264,0.0
76,208.92,207.78,-113.1554869918065,24.56858909384207,0.0
77,209.5,207.93,-117.0638331774858,24.427096632199813,0.0
78,210.87,209.27,-115.22555999015769,24.27096872995712,0.0
79,210.8463,202.72,-107.84636632095847,24.73732285984395,8.150000000000006
80,201.6,198.65,-104.6549146563129,25.141512638156925,0.0
81,203.23,201.12,-97.83466548202036,25.47891382483427,0.0
82,206.93,204.72,-90.3318717221219,25.674399622819315,0.0
83,209.54,206.56,-88.9829947069618,25.841478887236647,0.0
84,210.49,209.29,-89.64465661198086,25.96953047527235,11.840000000000003
85,214.07,212.95,-81.23183299228835,26.220259051614285,0.0
86,215.3,214.25,-83.15694534473393,26.110324314341366,0.0
87,215.45,214.35,-77.42573117072916,26.031681227764484,0.0
88,216.67,215.66,-73.13533119002702,25.968869218177947,0.0
89,217.0125,215.308,-75.18269990791048,25.956896226642517,4.0625
90,216.6,215.67,-78.03077504299705,25.86337723603144,0.0
91,216.23,215.63,-82.66010176434362,25.613527034614105,0.0
92,217.37,216.24,-83.5718856028744,25.342944654684267,0.0
93,217.22,215.75,-83.25446243254464,25.106523355403205,0.0
94,217.3,216.1,-84.82581768918136,24.758190719331225,1.740000000000009
95,217.06,215.97,-87.28177235340938,24.500075286139644,0.0
96,217.17,215.76,-91.77013905335451,24.303934857630857,0.0
97,217.27,215.62,-94.82941543582275,24.25366786706765,0.0
98,217.11,215.75,-95.730864879801,24.22331445560813,0.0
99,217.54,216.13,-95.77549182599053,24.209830397313315,1.9199999999999875
100,217.65,216.405,-99.69082263263812,23.635913618281272,0.0
101,216.83,214.57,-111.60189836970542,23.324582632778736,0.0
102,216.245,215.13,-119.83104226071399,23.10698058678649,0.0
103,216.78,214.25,-122.51614874301657,23.097268642492562,0.0
104,218.23,217.07,-127.95737122557715,23.016512062211383,3.9799999999999898
105,218.52,217.74,-133.6275590928703,22.96873304444372,0.0
106,218.76,217.8,-135.58566812943045,22.951191492225696,0.0
107,218.4038,217.23,-138.21060052553983,22.88378268904327,0.0
108,218.94,217.95,-142.7090945326512,22.813797348465524,0.0
109,218.71,217.99,-147.46592738045828,22.70002290015437,1.710000000000008
110,219.5,218.88,-156.9807730738593,22.619284609544867,0.0
111,218.68,217.96,-159.396740562736,22.58123275677911,0.0
112,218.53,217.02,-160.3076544495727,22.68343924850795,0.0
113,218.9,218.21,-159.69633710981728,22.771686738683567,0.0
114,218.75,217.74,-163.7714491008089,22.835080223971413,2.4799999999999898
115,218.8,217.83,-167.74420746573236,22.943628797140953,0.0
116,219.6,218.9,-169.27671505340905,23.073640263201934,0.0
117,218.91,217.36,-166.0254346897331,23.296385736948537,0.0
118,218.19,217.22,-167.52999664249657,23.445431749340443,0.0
119,219.12,216.25,-160.30751998370752,23.840287232227933,3.3499999999999943
120,218.665,217.4,-160.23388521840926,24.152793535739825,0.0
121,218.59,217.35,-160.28260110200912,24.363524947456696,0.0
122,217.75,216.465,-161.1974002774986,24.478923700019728,0.0
123,217.73,216.03,-159.37431634215727,24.613817664017045,0.0
124,218.87,217.7,-158.64199945241936,24.683804571873317,2.8400000000000034
125,214.88,213.03,-121.09821240799184,26.570199834629683,0.0
126,214.59,213.38,-119.78184845961722,26.725769549151117,0.0
127,216.03,213.44,-115.88781275221974,26.95097644617622,0.0
128,217.53,216.71,-114.59912245712022,26.959786726785087,0.0
129,216.88,215.88,-115.61746445023043,26.952354164279054,4.5
130,215.23,214.01,-113.0862944162437,26.905514357335168,0.0
131,215.68,213.62,-105.29201841903304,26.915765961829226,0.0
132,216.82,214.71,-105.52309425460015,27.00985142420878,0.0
133,216.87,214.04,-100.12363636363644,27.08662319427445,0.0
134,217.12,215.36,-97.7268659387865,27.14264235531703,3.5
135,216.04,215.04,-99.4351851851852,26.845638107420434,0.0
136,216.17,213.99,-99.39715161348482,26.674316311912747,0.0
137,216.13,215.33,-98.87350319618265,26.467323841603772,0.0
138,216.04,214.735,-98.69712230215836,26.280941028406684,0.0
139,216.3,214.19,-100.21532164783349,26.138268695379065,2.3100000000000023
140,216.7,215.985,-101.02751313329183,25.96328502981441,0.0
141,215.74,212.58,-97.57534128960255,25.995540786902612,0.0
142,214.32,213.01,-95.80543879214211,26.026011685332435,0.0
143,213.59,211.21,-94.73615635179155,26.171249349243276,0.0
144,214.69,213.03,-94.32578067067642,25.95572522585118,5.489999999999981
145,213.39,212.17,-99.59360932121103,25.458490115569823,0.0
146,214.31,213.27,-105.24530744336566,24.996754265005887,0.0
147,214.64,213.6,-110.30518402811676,24.606914285155934,0.0
148,214.53,213.11,-111.08317636561912,24.247132304346277,0.0
149,214.08,212.76,-115.82327011788819,24.055434389100952,2.469999999999999
150,215.32,214.48,-118.83598776500362,23.86480939646706,0.0
151,214.98,213.98,-120.58124798625273,23.74646589299767,0.0
152,214.42,212.93,-121.34258567310769,23.623449442981904,0.0
153,214.62,213.08,-121.4015077023927,23.652358580762503,0.0
154,213.93,211.71,-120.7321447866019,23.844206958080086,3.609999999999985
155,213.19,212.36,-121.17061456172918,23.96214810095468,0.0
156,212.99,209.6,-118.52123265911271,24.230834731303876,0.0
157,211.1,209.23,-118.88399787347169,24.409258590476878,0.0
158,210.24,208.46,-121.7398008352073,24.451629812798547,0.0
159,209.89,208.38,-126.06633608815443,24.47459622588806,4.810000000000002
160,213.19,211.3,-117.28554913294815,24.587448614115786,0.0
161,214.77,212.38,-114.15871060466087,24.6960731362127,0.0
162,217.1,212.34,-108.15716096324472,25.11478285719734,0.0
163,218.31,215.22,-103.86244685876248,25.511484077626328,0.0
164,216.7,215.32,-103.11086057872987,25.677291761860058,7.009999999999991
165,217.27,215.72,-103.56057728826438,25.839652846779465,0.0
166,218.28,216.8,-102.0459290187892,25.75599753932991,0.0
167,218.14,217.42,-107.82429457674606,25.63118789194175,0.0
168,219.06,217.92,-105.89327983951856,25.413659171666623,0.0
169,219.27,218.29,-108.12083591971859,25.193748934460864,3.5500000000000114
170,226.96,225.76,-122.9642069721995,24.330288021580202,0.0
171,228.34,227.0,-121.48957829141708,24.264434913156748,0.0
172,228.23,225.365,-126.24031821496206,24.313935552536005,0.0
173,227.81,225.8904,-127.52349037687249,24.132360172949188,0.0
174,226.08,224.67,-136.07750181356752,23.919797902648973,3.670000000000016
175,227.0701,226.4163,-147.8201894963176,24.94381207229601,0.0
176,227.45,226.01,-147.5160571503473,24.995570172190842,0.0
177,227.1,225.59,-144.68883426057707,25.09256220408361,0.0
178,226.75,224.955,-143.96220190172306,25.235840275801152,0.0
179,227.4,226.69,-145.10403750151602,25.00693755552735,2.494999999999976
180,228.2,226.41,-160.50956454947328,24.4351076948491,0.0
181,227.6,226.32,-157.1481788190395,24.61417653285998,0.0
182,228.59,226.94,-154.49772653927582,24.889503142245943,0.0
183,228.1,226.82,-150.26810720173222,25.148423925176427,0.0
184,229.55,228.46,-147.01352295572795,25.150672208454324,3.230000000000018
185,229.326,228.54,-152.008855383921,25.11321351082253,0.0
186,229.6556,228.72,-153.5950412135974,24.934685312916397,0.0
187,229.39,228.31,-156.79020689767023,24.71599230716141,0.0
188,230.95,229.52,-160.43165665273776,24.62497938246109,0.0
189,231.77,230.6216,-164.12908736442455,24.585715722609393,3.460000000000008
190,237.31,236.35,-160.19516376834162,24.784725860285718,0.0
191,236.95,236.015,-164.0189985346871,24.700699786448695,0.0
192,240.32,238.37,-152.9895515936189,24.683078949214945,0.0
193,239.57,238.21,-157.24344577261624,24.720753176119672,0.0
194,238.61,237.73,-163.15910635592252,24.77506364335386,4.305000000000007
195,238.12,237.01,-162.2466316117721,24.854206071527095,0.0
196,237.77,236.76,-161.68095283957723,24.810672081287134,0.0
197,237.64,236.4,-168.45041986976804,24.784904531301628,0.0
198,237.24,235.74,-169.2205916402966,24.760056203294855,0.0
199,238.02,236.59,-169.35172551499195,24.77323680707606,2.3799999999999955
200,237.86,237.24,-172.65613523622247,24.72730665592424,0.0
201,237.24,236.19,-174.55418459198359,24.73983814735379,0.0
202,239.44,237.29,-165.4196458511362,24.91802630258981,0.0
203,239.2,238.1,-164.1204850416764,25.038397135662617,0.0
204,237.97,237.03,-168.09496390603823,25.049939040141027,3.25
205,236.03,233.91,-146.13584554547555,26.255784736589113,0.0
206,235.58,234.555,-144.07339449541274,26.244240193381724,0.0
207,237.39,234.54,-138.535148404374,26.25200928898344,0.0
208,236.04,234.425,-141.69160305343516,26.232307398596063,0.0
209,236.0,234.64,-143.2163342381683,26.233764549702556,3.4799999999999898
210,237.41,234.5628,-126.95651808489637,26.25676445491621,0.0
211,238.95,237.81,-126.04972225816016,26.29795094058839,0.0
212,239.53,238.35,-125.50403435548111,25.93412882237395,0.0
213,238.95,237.98,-134.0841114434407,25.615523412336156,0.0
214,238.93,237.93,-135.7502553878972,25.314025356215957,4.967199999999991
215,239.17,238.195,-136.1858961184871,24.99394207834171,0.0
216,238.98,238.3,-138.7637348380129,24.618065663925545,0.0
217,238.8775,237.7,-145.35151734016503,24.24505337971542,0.0
218,238.9225,237.78,-149.84018000513458,24.030355944995975,0.0
219,239.72,238.68,-148.83085730411847,23.8951550055682,2.0200000000000102
220,239.92,239.17,-153.27760084925717,23.818378271024578,0.0
221,240.19,239.04,-151.1937064636321,23.710560492294004,0.0
222,239.87,239.15,-159.9755426795988,23.63393179034307,0.0
223,239.57,238.13,-159.20581522943078,23.504227700796704,0.0
224,239.4273,238.67,-168.3475135790034,23.369662277435776,2.0600000000000023
225,240.44,239.45,-168.406950197542,23.292768237633084,0.0
226,240.67,239.63,-169.30532761450314,23.2478981143467,0.0
227,238.64,235.75,-160.7813720093704,23.45457304060294,0.0
228,237.75,235.43,-158.96646732436938,23.775181620788054,0.0
229,239.08,237.27,-153.58853451156577,24.009108478777353,5.239999999999981
230,239.71,238.82,-155.40124813219663,24.102365021519873,0.0
231,240.24,239.51,-161.68305641798412,24.113401255987014,0.0
232,240.73,239.93,-164.19423537348376,24.043420347461126,0.0
233,242.08,240.96,-164.40539207189425,23.933742204158992,0.0
234,241.9,241.45,-174.1135759400187,23.800254907729542,3.2600000000000193
235,244.3,243.76,-178.40210023118198,23.609131776987834,0.0
236,243.98,243.12,-181.21238346249146,23.670008376553184,0.0
237,243.92,242.83,-183.2815388851735,23.802166480794575,0.0
238,244.33,243.17,-182.44117480381615,23.932826090949856,0.0
239,245.01,241.95,-173.7920010844452,24.322589392427883,3.0600000000000023
240,243.42,242.38,-175.15811177858376,24.591733273176757,0.0
241,244.61,243.5799,-174.93503166062703,24.81446098317697,0.0
242,244.87,243.29,-171.09056243517367,25.019526042983955,0.0
243,243.91,242.36,-167.75709126608433,25.258205800065753,0.0
244,242.83,241.6337,-162.26697425026467,25.366458037800165,3.2363
245,244.73,243.48,-162.02308745842276,25.48839180268961,0.0
246,244.26,242.99,-160.44199284138597,25.584997252754018,0.0
247,243.59,242.41,-161.38239905968885,25.643141514438934,0.0
248,243.53,242.64,-161.0393044858019,25.378864573165902,0.0
249,243.51,242.47,-176.18179446835532,25.037293119948895,2.319999999999993
